	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.8321093233172129	1.189174912473991	1.2296384890558858	1.1418119600102918	1.274708586232336	0.9633805331559864	1.2729407712646668	1.2419113483143431	1.4254565526995657
LEB_d	0.8321093233172129	0.0	0.5360475771441685	0.6853314776372377	0.5141362754320591	1.088638391606764	0.6512627122744439	0.951832593870159	0.8570597986433989	0.927630100508512
LEB_k	1.189174912473991	0.5360475771441685	0.0	0.7340972115997019	0.5194034994462768	1.38624328935067	0.9813913446413813	1.191420543199124	1.0809300027035693	0.972069185902323
TUR_d	1.2296384890558858	0.6853314776372377	0.7340972115997019	0.0	0.27193257196730475	0.765606710402977	0.4982441242350624	0.6425593114278703	0.5119000226245695	0.32076498869285547
TUR_k	1.1418119600102918	0.5141362754320591	0.5194034994462768	0.27193257196730475	0.0	0.9259145566838535	0.559043458257132	0.7362935929731994	0.6435731725463164	0.5145060753454235
UZB_d	1.274708586232336	1.088638391606764	1.38624328935067	0.765606710402977	0.9259145566838535	0.0	0.5079539909941517	0.474151708987662	0.4556012803616024	0.7038053021123624
UZB_k	0.9633805331559864	0.6512627122744439	0.9813913446413813	0.4982441242350624	0.559043458257132	0.5079539909941517	0.0	0.43603730975324734	0.4247685690603111	0.6163156629769646
IND_d	1.2729407712646668	0.951832593870159	1.191420543199124	0.6425593114278703	0.7362935929731994	0.474151708987662	0.43603730975324734	0.0	0.5375310102246642	0.6585057215658106
MOR_d	1.2419113483143431	0.8570597986433989	1.0809300027035693	0.5119000226245695	0.6435731725463164	0.4556012803616024	0.4247685690603111	0.5375310102246642	0.0	0.45951825794719714
MOR_k	1.4254565526995657	0.927630100508512	0.972069185902323	0.32076498869285547	0.5145060753454235	0.7038053021123624	0.6163156629769646	0.6585057215658106	0.45951825794719714	0.0
