	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	1.0174508147390022	0.6067582463721055	0.710091659657399	0.7001948788778866	0.6788745710573691	0.7420535028972945	0.7347972303029415	0.5358175048138216	0.7467901144779376
LEB_d	1.0174508147390022	0.0	0.43112830745332137	0.4328072948334635	0.39195744346274175	0.49895990563677767	0.415259686933456	0.35352868947751265	0.5681023353955034	0.4565576207568238
LEB_k	0.6067582463721055	0.43112830745332137	0.0	0.2734131882665201	0.20401444964347484	0.3406561580314956	0.3116358062330568	0.24292011959997925	0.28465546780616635	0.3398403692439284
TUR_d	0.710091659657399	0.4328072948334635	0.2734131882665201	0.0	0.10902326724005978	0.1484213539196426	0.10092729075551198	0.18314956027847273	0.21472112412198407	0.09348682456226506
TUR_k	0.7001948788778866	0.39195744346274175	0.20401444964347484	0.10902326724005978	0.0	0.21952691695998905	0.15849581801576385	0.14676948127235734	0.24903068103162967	0.1599524784390529
UZB_d	0.6788745710573691	0.49895990563677767	0.3406561580314956	0.1484213539196426	0.21952691695998905	0.0	0.11535234306857627	0.2255209262798284	0.14923578987226924	0.14698876969272098
UZB_k	0.7420535028972945	0.415259686933456	0.3116358062330568	0.10092729075551198	0.15849581801576385	0.11535234306857627	0.0	0.1765114174144362	0.2212993076260515	0.10494021910549844
IND_d	0.7347972303029415	0.35352868947751265	0.24292011959997925	0.18314956027847273	0.14676948127235734	0.2255209262798284	0.1765114174144362	0.0	0.26724590613189864	0.212399051698857
MOR_d	0.5358175048138216	0.5681023353955034	0.28465546780616635	0.21472112412198407	0.24903068103162967	0.14923578987226924	0.2212993076260515	0.26724590613189864	0.0	0.24772437603343792
MOR_k	0.7467901144779376	0.4565576207568238	0.3398403692439284	0.09348682456226506	0.1599524784390529	0.14698876969272098	0.10494021910549844	0.212399051698857	0.24772437603343792	0.0
