Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.88054151792766	0.131665608577432	0.415037492747074	0.931745263570104	0.376175145714952	0.693462971672116	0.263728699758526	0.251408560476268	0.378694611669779
LEB_d	0.88054151792766	0	0.812886744897461	0.607752030291173	0.473829094798438	0.533775816335047	0.226839423193936	0.630385671697268	0.674852267648452	0.659566004502373
TUR_d	0.131665608577432	0.812886744897461	0	0.426474474336167	0.919127746437447	0.320025919218214	0.614944904309892	0.195425930622732	0.174077457890936	0.264722420160801
UZB_d	0.415037492747074	0.607752030291173	0.426474474336167	0	0.529648130559317	0.24178065892254	0.494314031033991	0.318722856080528	0.32916893812243	0.483427708019714
IND_d	0.931745263570104	0.473829094798438	0.919127746437447	0.529648130559317	0	0.635482918063535	0.575486354448135	0.762964422560717	0.789598855228498	0.869958679752892
MOR_d	0.376175145714952	0.533775816335047	0.320025919218214	0.24178065892254	0.635482918063535	0	0.367349399651406	0.179071427776099	0.172833767338672	0.261652036480167
LEB_k	0.693462971672116	0.226839423193936	0.614944904309892	0.494314031033991	0.575486354448135	0.367349399651406	0	0.435080407148452	0.485425680145354	0.46548710937722
TUR_k	0.263728699758526	0.630385671697268	0.195425930622732	0.318722856080528	0.762964422560717	0.179071427776099	0.435080407148452	0	0.127712966586489	0.227993859895879
UZB_k	0.251408560476268	0.674852267648452	0.174077457890936	0.32916893812243	0.789598855228498	0.172833767338672	0.485425680145354	0.127712966586489	0	0.191824804950252
MOR_k	0.378694611669779	0.659566004502373	0.264722420160801	0.483427708019714	0.869958679752892	0.261652036480167	0.46548710937722	0.227993859895879	0.191824804950252	0
