	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.3605674465657084	0.6481010049628798	1.0457549483671593	1.1222338449308962	0.9087763680631071	1.2029959341236518	0.8335500988522198	0.8552504527252464	1.136429488801326
LEB_d	0.3605674465657084	0.0	0.5376940395080613	1.0482614900577316	1.1489403344811737	0.9790913081231132	1.282415108292759	0.8582812601595986	0.8248747049221508	1.1148018225395633
LEB_k	0.6481010049628798	0.5376940395080613	0.0	0.7408326328942251	0.8508517257578083	0.7199293695732337	1.043243439533936	0.6109184727434629	0.5559906831798435	0.7609057242421602
TUR_d	1.0457549483671593	1.0482614900577316	0.7408326328942251	0.0	0.2930819923841876	0.29692209946332093	0.5282770277348234	0.5530548967792461	0.35641594853597813	0.3326935785340636
TUR_k	1.1222338449308962	1.1489403344811737	0.8508517257578083	0.2930819923841876	0.0	0.3376000732490077	0.3660937726124353	0.6527310411247134	0.44836807623834746	0.30786859401510935
UZB_d	0.9087763680631071	0.9790913081231132	0.7199293695732337	0.29692209946332093	0.3376000732490077	0.0	0.419006170842977	0.5709369140784968	0.4189197515551456	0.48684862068231793
UZB_k	1.2029959341236518	1.282415108292759	1.043243439533936	0.5282770277348234	0.3660937726124353	0.419006170842977	0.0	0.8738946578648679	0.6635581251725335	0.6218885522038441
IND_d	0.8335500988522198	0.8582812601595986	0.6109184727434629	0.5530548967792461	0.6527310411247134	0.5709369140784968	0.8738946578648679	0.0	0.541569992185972	0.5532035366518585
MOR_d	0.8552504527252464	0.8248747049221508	0.5559906831798435	0.35641594853597813	0.44836807623834746	0.4189197515551456	0.6635581251725335	0.541569992185972	0.0	0.40426818884286875
MOR_k	1.136429488801326	1.1148018225395633	0.7609057242421602	0.3326935785340636	0.30786859401510935	0.48684862068231793	0.6218885522038441	0.5532035366518585	0.40426818884286875	0.0
