Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.944165492810107	0.806189832577725	0.669025941022435	0.69006561304554	0.51791279748595	0.592858362529952	0.766241749335092	0.726087762665736	0.674493357799366
LEB_d	0.944165492810107	0	0.573262962504125	0.48256924739945	0.3077626689994	0.525112115584156	0.423441551539415	0.506789634899412	0.415660558479099	0.376035154084276
TUR_d	0.806189832577725	0.573262962504125	0	0.227938225409044	0.402321928927571	0.34809228203539	0.348176147352507	0.101313383072272	0.225890533692659	0.441871021616065
UZB_d	0.669025941022435	0.48256924739945	0.227938225409044	0	0.241555677464267	0.159592618270903	0.246586276843738	0.20193983485717	0.0936437410195706	0.25227664102743
IND_d	0.69006561304554	0.3077626689994	0.402321928927571	0.241555677464267	0	0.246643573176025	0.209526189192798	0.33161501626031	0.205586855476753	0.162538988093509
MOR_d	0.51791279748595	0.525112115584156	0.34809228203539	0.159592618270903	0.246643573176025	0	0.200963742292696	0.30670144360728	0.215609884874368	0.247662559877399
LEB_k	0.592858362529952	0.423441551539415	0.348176147352507	0.246586276843738	0.209526189192798	0.200963742292696	0	0.270159448932839	0.23702249681031	0.28598173400141
TUR_k	0.766241749335092	0.506789634899412	0.101313383072272	0.20193983485717	0.33161501626031	0.30670144360728	0.270159448932839	0	0.182851853851223	0.387631333460895
UZB_k	0.726087762665736	0.415660558479099	0.225890533692659	0.0936437410195706	0.205586855476753	0.215609884874368	0.23702249681031	0.182851853851223	0	0.231676011578095
MOR_k	0.674493357799366	0.376035154084276	0.441871021616065	0.25227664102743	0.162538988093509	0.247662559877399	0.28598173400141	0.387631333460895	0.231676011578095	0
