	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.5379127570276286	0.36356152270058717	0.46659738535998846	0.37420800850534547	0.16390347343255043	0.19111824486809453	0.26267703733634057	0.42952736316355694	0.6328035989399842
LEB_d	0.5379127570276286	0.0	0.3926425736728015	0.17089266312481588	0.253323706085536	0.5678891019389783	0.5019249708681573	0.6472221843349485	0.3470114197685042	0.3376988415788024
LEB_k	0.36356152270058717	0.3926425736728015	0.0	0.31780705881063415	0.19584331689144416	0.42380034880703066	0.40446318098784373	0.5498318363226773	0.12186018877700323	0.32223556454174124
TUR_d	0.46659738535998846	0.17089266312481588	0.31780705881063415	0.0	0.17336341866459543	0.4993443064969626	0.43067473042275817	0.5798626001551402	0.2850909283014557	0.338843553920292
TUR_k	0.37420800850534547	0.253323706085536	0.19584331689144416	0.17336341866459543	0.0	0.4247000323709919	0.3602942140450469	0.5259350631327355	0.18782346193102695	0.3174692127234292
UZB_d	0.16390347343255043	0.5678891019389783	0.42380034880703066	0.4993443064969626	0.4247000323709919	0.0	0.1420094657281562	0.1508125023460409	0.4923578381343251	0.6958635670731282
UZB_k	0.19111824486809453	0.5019249708681573	0.40446318098784373	0.43067473042275817	0.3602942140450469	0.1420094657281562	0.0	0.20861214166882056	0.457616787066587	0.6475728167412169
IND_d	0.26267703733634057	0.6472221843349485	0.5498318363226773	0.5798626001551402	0.5259350631327355	0.1508125023460409	0.20861214166882056	0.0	0.617326312409328	0.8111628553731688
MOR_d	0.42952736316355694	0.3470114197685042	0.12186018877700323	0.2850909283014557	0.18782346193102695	0.4923578381343251	0.457616787066587	0.617326312409328	0.0	0.24098850711651595
MOR_k	0.6328035989399842	0.3376988415788024	0.32223556454174124	0.338843553920292	0.3174692127234292	0.6958635670731282	0.6475728167412169	0.8111628553731688	0.24098850711651595	0.0
