	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.6995941177331197	0.5649549294040546	0.3889020853244163	0.3523548236714231	0.44351392044598126	0.5973484522708904	0.552691526480533	0.4062186352272624	0.5205608002304761
LEB_d	0.6995941177331197	0.0	0.45324810617334865	0.6106653867849354	0.5338505677075945	0.9751082517286584	0.9675611010057222	1.115335127621927	0.7494182472223901	0.7076038431709839
LEB_k	0.5649549294040546	0.45324810617334865	0.0	0.6226772686979298	0.5230311741359968	0.8306508378049703	0.8413942562117577	0.958779012316131	0.5486099726959193	0.5217869158702293
TUR_d	0.3889020853244163	0.6106653867849354	0.6226772686979298	0.0	0.1824306879687145	0.479636472798861	0.5095835101277393	0.5665850476822453	0.37516951548127647	0.42162627111184703
TUR_k	0.3523548236714231	0.5338505677075945	0.5230311741359968	0.1824306879687145	0.0	0.5234994891000269	0.5364182842068045	0.6260073987281075	0.34310313704177564	0.35948471062626647
UZB_d	0.44351392044598126	0.9751082517286584	0.8306508378049703	0.479636472798861	0.5234994891000269	0.0	0.3282995931011857	0.23701621547749693	0.40578141829924963	0.5709518121185668
UZB_k	0.5973484522708904	0.9675611010057222	0.8413942562117577	0.5095835101277393	0.5364182842068045	0.3282995931011857	0.0	0.4289085931546455	0.41584204517661255	0.529142490358556
IND_d	0.552691526480533	1.115335127621927	0.958779012316131	0.5665850476822453	0.6260073987281075	0.23701621547749693	0.4289085931546455	0.0	0.4806230842958993	0.6223559050411226
MOR_d	0.4062186352272624	0.7494182472223901	0.5486099726959193	0.37516951548127647	0.34310313704177564	0.40578141829924963	0.41584204517661255	0.4806230842958993	0.0	0.23305516770805385
MOR_k	0.5205608002304761	0.7076038431709839	0.5217869158702293	0.42162627111184703	0.35948471062626647	0.5709518121185668	0.529142490358556	0.6223559050411226	0.23305516770805385	0.0
