Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.285595938554435	0.515821960747496	0.321734871421584	0.279743411900668	0.402734049241257	0.28598908664868	0.274258390709657	0.311760433366859	0.458987693334791
LEB_d	0.285595938554435	0	0.434082291685933	0.340872861119082	0.245581052256641	0.248354862049391	0.347024953245765	0.211564489237928	0.263881261089059	0.34262340652745
TUR_d	0.515821960747496	0.434082291685933	0	0.435815659480585	0.432703789029944	0.297033365161842	0.4776419245418	0.316472597509612	0.353416232145481	0.192580277175882
UZB_d	0.321734871421584	0.340872861119082	0.435815659480585	0	0.266271917998114	0.314418855752924	0.402482403519055	0.262302235576672	0.143926530875393	0.433546816599678
IND_d	0.279743411900668	0.245581052256641	0.432703789029944	0.266271917998114	0	0.309318695162559	0.441290694380153	0.24629417511561	0.193382920313222	0.385729256422784
MOR_d	0.402734049241257	0.248354862049391	0.297033365161842	0.314418855752924	0.309318695162559	0	0.426482387301125	0.252530552395918	0.257021352413005	0.229007462850498
LEB_k	0.28598908664868	0.347024953245765	0.4776419245418	0.402482403519055	0.441290694380153	0.426482387301125	0	0.258100274207058	0.385374051084171	0.428686990771877
TUR_k	0.274258390709657	0.211564489237928	0.316472597509612	0.262302235576672	0.24629417511561	0.252530552395918	0.258100274207058	0	0.179391922251736	0.288866656850964
UZB_k	0.311760433366859	0.263881261089059	0.353416232145481	0.143926530875393	0.193382920313222	0.257021352413005	0.385374051084171	0.179391922251736	0	0.353180356981386
MOR_k	0.458987693334791	0.34262340652745	0.192580277175882	0.433546816599678	0.385729256422784	0.229007462850498	0.428686990771877	0.288866656850964	0.353180356981386	0
