Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.732099142710678	0.865240337756404	0.297695281222128	0.358953621004285	0.512304132908221	0.953739441663808	0.822781816769054	0.623069106140988	0.944578766753551
LEB_d	0.732099142710678	0	0.246201282568817	0.543918515506789	0.559193481599424	0.285896462470879	0.271418752305248	0.2619744974774	0.227697174156529	0.260073737752455
TUR_d	0.865240337756404	0.246201282568817	0	0.659163789430866	0.743728888456625	0.414063591906346	0.162079859609778	0.133585119717898	0.28968524999581	0.159867984871053
UZB_d	0.297695281222128	0.543918515506789	0.659163789430866	0	0.310908160199944	0.33108227223242	0.76570868593787	0.640170270613826	0.398259177553582	0.755560565368438
IND_d	0.358953621004285	0.559193481599424	0.743728888456625	0.310908160199944	0	0.451097124268424	0.81223335654402	0.72363547344217	0.486757160079865	0.802958015037528
MOR_d	0.512304132908221	0.285896462470879	0.414063591906346	0.33108227223242	0.451097124268424	0	0.497462693919094	0.405337346552183	0.254780691458602	0.484610760755838
LEB_k	0.953739441663808	0.271418752305248	0.162079859609778	0.76570868593787	0.81223335654402	0.497462693919094	0	0.191045726020248	0.390272817092915	0.0376459086850677
TUR_k	0.822781816769054	0.2619744974774	0.133585119717898	0.640170270613826	0.72363547344217	0.405337346552183	0.191045726020248	0	0.283392962070978	0.194133602357141
UZB_k	0.623069106140988	0.227697174156529	0.28968524999581	0.398259177553582	0.486757160079865	0.254780691458602	0.390272817092915	0.283392962070978	0	0.383610896111501
MOR_k	0.944578766753551	0.260073737752455	0.159867984871053	0.755560565368438	0.802958015037528	0.484610760755838	0.0376459086850677	0.194133602357141	0.383610896111501	0
