Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.282264609127127	0.610238307464692	0.357409235631263	0.348478772271588	0.433989910805055	0.268924520849838	0.29809011963837	0.35702300844546	0.525367286132395
LEB_d	0.282264609127127	0	0.542807057118162	0.34737012110921	0.176937567730374	0.305269774026379	0.443450054909833	0.262573137036453	0.262801138888183	0.439833391187139
TUR_d	0.610238307464692	0.542807057118162	0	0.521699953284665	0.482842561296434	0.360989928925288	0.598574942406548	0.396443450941806	0.426908389164197	0.217330990673017
UZB_d	0.357409235631263	0.34737012110921	0.521699953284665	0	0.259270691909581	0.305432712828744	0.433955735826039	0.267909460696542	0.167592997231617	0.476521984974387
IND_d	0.348478772271588	0.176937567730374	0.482842561296434	0.259270691909581	0	0.230674941207728	0.492884610695944	0.253698198593719	0.162605568175307	0.40236031458056
MOR_d	0.433989910805055	0.305269774026379	0.360989928925288	0.305432712828744	0.230674941207728	0	0.538574584070497	0.287628655620163	0.239380060887699	0.282170297816956
LEB_k	0.268924520849838	0.443450054909833	0.598574942406548	0.433955735826039	0.492884610695944	0.538574584070497	0	0.31472528649434	0.440168022904845	0.548422575734251
TUR_k	0.29809011963837	0.262573137036453	0.396443450941806	0.267909460696542	0.253698198593719	0.287628655620163	0.31472528649434	0	0.188761240037636	0.35089971768223
UZB_k	0.35702300844546	0.262801138888183	0.426908389164197	0.167592997231617	0.162605568175307	0.239380060887699	0.440168022904845	0.188761240037636	0	0.391097070883539
MOR_k	0.525367286132395	0.439833391187139	0.217330990673017	0.476521984974387	0.40236031458056	0.282170297816956	0.548422575734251	0.35089971768223	0.391097070883539	0
