Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.982368343008834	0.476769056332713	0.49046597123843	0.395420396389668	0.58578323733133	0.514462086021178	0.571833237309071	0.416169406609231	0.732319686178366
LEB_d	0.982368343008834	0	0.861156166097898	0.640294536643607	0.688883693635477	0.489709079456465	0.584455185424166	0.83820226812771	0.611403811967596	0.459143256017898
TUR_d	0.476769056332713	0.861156166097898	0	0.236668736590407	0.269931409191925	0.437899307653585	0.342819111689962	0.126554792862829	0.333548881808412	0.477228933477489
UZB_d	0.49046597123843	0.640294536643607	0.236668736590407	0	0.153930665858043	0.219145676997241	0.157805757791888	0.249747234643809	0.157829422605748	0.288732209403436
IND_d	0.395420396389668	0.688883693635477	0.269931409191925	0.153930665858043	0	0.311191733531966	0.247822300898023	0.332366873329217	0.102743085565615	0.410198585475298
MOR_d	0.58578323733133	0.489709079456465	0.437899307653585	0.219145676997241	0.311191733531966	0	0.135955668864617	0.421749821323019	0.2393299296386	0.183856762455762
LEB_k	0.514462086021178	0.584455185424166	0.342819111689962	0.157805757791888	0.247822300898023	0.135955668864617	0	0.331226553760797	0.191438077338699	0.226106371381101
TUR_k	0.571833237309071	0.83820226812771	0.126554792862829	0.249747234643809	0.332366873329217	0.421749821323019	0.331226553760797	0	0.377613861977175	0.421528172015021
UZB_k	0.416169406609231	0.611403811967596	0.333548881808412	0.157829422605748	0.102743085565615	0.2393299296386	0.191438077338699	0.377613861977175	0	0.358096525281192
MOR_k	0.732319686178366	0.459143256017898	0.477228933477489	0.288732209403436	0.410198585475298	0.183856762455762	0.226106371381101	0.421528172015021	0.358096525281192	0
