	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	1.0125341204698084	0.7662573608776376	0.7318821616197352	0.7892763579938296	0.903531513239857	1.013502343830367	0.3238064265884026	0.5127644041908561	0.6082193083203947
LEB_d	1.0125341204698084	0.0	0.5978211813225995	0.48522226879877745	0.5160890467605035	0.38723414474209455	0.2512685366016845	0.9051199947331806	1.1907804458044597	0.6352396674056296
LEB_k	0.7662573608776376	0.5978211813225995	0.0	0.2963019076374298	0.24442237724594978	0.41432420591210045	0.5934513675850737	0.6968536087518666	0.9722138685656655	0.48819330671295524
TUR_d	0.7318821616197352	0.48522226879877745	0.2963019076374298	0.0	0.18676462592441492	0.35709837684196755	0.4696721376915353	0.6086387388131114	0.8528547640108721	0.27900847075266305
TUR_k	0.7892763579938296	0.5160890467605035	0.24442237724594978	0.18676462592441492	0.0	0.33837129435000546	0.48526096768192195	0.699198360506002	0.9582062996774031	0.39581191640158087
UZB_d	0.903531513239857	0.38723414474209455	0.41432420591210045	0.35709837684196755	0.33837129435000546	0.0	0.3126027135799135	0.757167101141895	1.1124878213081824	0.563680373028
UZB_k	1.013502343830367	0.2512685366016845	0.5934513675850737	0.4696721376915353	0.48526096768192195	0.3126027135799135	0.0	0.8863006554052699	1.2100332355661492	0.6379371076199097
IND_d	0.3238064265884026	0.9051199947331806	0.6968536087518666	0.6086387388131114	0.699198360506002	0.757167101141895	0.8863006554052699	0.0	0.4932008956045457	0.4977820405044337
MOR_d	0.5127644041908561	1.1907804458044597	0.9722138685656655	0.8528547640108721	0.9582062996774031	1.1124878213081824	1.2100332355661492	0.4932008956045457	0.0	0.6524346396620508
MOR_k	0.6082193083203947	0.6352396674056296	0.48819330671295524	0.27900847075266305	0.39581191640158087	0.563680373028	0.6379371076199097	0.4977820405044337	0.6524346396620508	0.0
