	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	1.3030702153191067	1.391221310600107	1.4652136461503307	1.4870224163921	0.8108591738940456	1.4611142267075194	0.520791129404734	1.3634588385727469	1.6569315309036972
LEB_d	1.3030702153191067	0.0	0.2903311089345456	0.24397084791919366	0.3132368274126864	0.5692439732437988	0.2930300296597816	1.1278627648407782	0.17148993256737716	0.45469880284025616
LEB_k	1.391221310600107	0.2903311089345456	0.0	0.18710530437416592	0.22068300840565647	0.7034006622550139	0.35993427257769933	1.2926394694812122	0.2675970920956667	0.3571747793712988
TUR_d	1.4652136461503307	0.24397084791919366	0.18710530437416592	0.0	0.16622279222914896	0.7364741914162378	0.2660139332535884	1.3204060628893266	0.19687676868783616	0.32155870087141253
TUR_k	1.4870224163921	0.3132368274126864	0.22068300840565647	0.16622279222914896	0.0	0.7703597223004408	0.2893865945266556	1.3683617492022164	0.2827298239740079	0.2887728973859104
UZB_d	0.8108591738940456	0.5692439732437988	0.7034006622550139	0.7364741914162378	0.7703597223004408	0.0	0.6780021184170669	0.6238603153206739	0.6078039690359434	0.9587886996598972
UZB_k	1.4611142267075194	0.2930300296597816	0.35993427257769933	0.2660139332535884	0.2893865945266556	0.6780021184170669	0.0	1.2665040815514914	0.22073959902806853	0.4286107213754248
IND_d	0.520791129404734	1.1278627648407782	1.2926394694812122	1.3204060628893266	1.3683617492022164	0.6238603153206739	1.2665040815514914	0.0	1.1844189658268265	1.5379717712739687
MOR_d	1.3634588385727469	0.17148993256737716	0.2675970920956667	0.19687676868783616	0.2827298239740079	0.6078039690359434	0.22073959902806853	1.1844189658268265	0.0	0.41959705504103006
MOR_k	1.6569315309036972	0.45469880284025616	0.3571747793712988	0.32155870087141253	0.2887728973859104	0.9587886996598972	0.4286107213754248	1.5379717712739687	0.41959705504103006	0.0
