	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.3415464911824073	0.5909581640862519	0.539174036712087	0.7602111446499693	0.4646886695345312	0.5152490801172491	0.7325528426213664	1.0417922969850484	0.9919854808244413
LEB_d	0.3415464911824073	0.0	0.32483287666761834	0.29933851552555246	0.4796397933031159	0.4187657147087605	0.3396721143692913	0.5172869552774075	0.7846899140958725	0.7331996635525806
LEB_k	0.5909581640862519	0.32483287666761834	0.0	0.31845805397703675	0.2601010931745193	0.4946901208994148	0.34855706972102884	0.3195396118251512	0.534841433086198	0.49628514921588773
TUR_d	0.539174036712087	0.29933851552555246	0.31845805397703675	0.0	0.3517490558299325	0.3589150744676319	0.2159017769225805	0.499722953239679	0.6637319658127058	0.6332380351157948
TUR_k	0.7602111446499693	0.4796397933031159	0.2601010931745193	0.3517490558299325	0.0	0.5312097262337008	0.35046332739633185	0.3054010382482489	0.35688472558056195	0.3144250218489193
UZB_d	0.4646886695345312	0.4187657147087605	0.4946901208994148	0.3589150744676319	0.5312097262337008	0.0	0.23988080536321396	0.5171760010873041	0.7563160683946901	0.7291768317227512
UZB_k	0.5152490801172491	0.3396721143692913	0.34855706972102884	0.2159017769225805	0.35046332739633185	0.23988080536321396	0.0	0.43631171977683986	0.6295975188189592	0.5842679757254994
IND_d	0.7325528426213664	0.5172869552774075	0.3195396118251512	0.499722953239679	0.3054010382482489	0.5171760010873041	0.43631171977683986	0.0	0.3613530752092363	0.3402809002929632
MOR_d	1.0417922969850484	0.7846899140958725	0.534841433086198	0.6637319658127058	0.35688472558056195	0.7563160683946901	0.6295975188189592	0.3613530752092363	0.0	0.15848032810926177
MOR_k	0.9919854808244413	0.7331996635525806	0.49628514921588773	0.6332380351157948	0.3144250218489193	0.7291768317227512	0.5842679757254994	0.3402809002929632	0.15848032810926177	0.0
