	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.9452251281751902	0.9888772383887006	1.0896343716381391	1.0598220085044683	0.7741918650113666	1.1225110786648824	0.5261430248744444	0.8135414056231914	0.9658366583100858
LEB_d	0.9452251281751902	0.0	0.5201339745104931	0.42711370805202664	0.5075220408543594	0.578328096590008	0.5772479299642147	0.861599495453193	0.3572930026183441	0.3442289762762855
LEB_k	0.9888772383887006	0.5201339745104931	0.0	0.35284401420809697	0.3604211206930332	0.6438084328268145	0.33736241411754964	0.8104918533465284	0.5525847300951284	0.3869030640585439
TUR_d	1.0896343716381391	0.42711370805202664	0.35284401420809697	0.0	0.2076116472555776	0.6053476687897107	0.30920312046505133	0.9556666676703877	0.4710282079973972	0.2835916607584789
TUR_k	1.0598220085044683	0.5075220408543594	0.3604211206930332	0.2076116472555776	0.0	0.6048826770267286	0.2686005383897314	0.9481831520055036	0.505255123060304	0.34400571099249677
UZB_d	0.7741918650113666	0.578328096590008	0.6438084328268145	0.6053476687897107	0.6048826770267286	0.0	0.57807210803716	0.5301393066746339	0.29448928717047934	0.41812640848278165
UZB_k	1.1225110786648824	0.5772479299642147	0.33736241411754964	0.30920312046505133	0.2686005383897314	0.57807210803716	0.0	0.9068874829357776	0.5370295007520667	0.36970023427705867
IND_d	0.5261430248744444	0.861599495453193	0.8104918533465284	0.9556666676703877	0.9481831520055036	0.5301393066746339	0.9068874829357776	0.0	0.6564647761346823	0.7868353605429845
MOR_d	0.8135414056231914	0.3572930026183441	0.5525847300951284	0.4710282079973972	0.505255123060304	0.29448928717047934	0.5370295007520667	0.6564647761346823	0.0	0.296991344930026
MOR_k	0.9658366583100858	0.3442289762762855	0.3869030640585439	0.2835916607584789	0.34400571099249677	0.41812640848278165	0.36970023427705867	0.7868353605429845	0.296991344930026	0.0
