	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.49264831429328854	0.5623825841275273	0.5930073964681779	0.6232033283088088	0.7161615160811933	0.651460505713849	0.7067230384190082	0.6363381011062058	0.5989224218211096
LEB_d	0.49264831429328854	0.0	0.1401117029226591	0.2727248446086268	0.2468476788635403	0.4489189974197852	0.2721954753584757	0.5810438002029304	0.32325739316785773	0.3008018373724288
LEB_k	0.5623825841275273	0.1401117029226591	0.0	0.25735769002543524	0.17816368782553288	0.3681616976270132	0.22567953835134513	0.49602342465250526	0.209807095911067	0.20588397588846238
TUR_d	0.5930073964681779	0.2727248446086268	0.25735769002543524	0.0	0.14569863656223273	0.3978651009135228	0.14921714620015722	0.5888148865760103	0.3124431817161583	0.26255579419013486
TUR_k	0.6232033283088088	0.2468476788635403	0.17816368782553288	0.14569863656223273	0.0	0.3823420986801542	0.14149949360737282	0.5379405182506689	0.22295564830188006	0.18621738246341873
UZB_d	0.7161615160811933	0.4489189974197852	0.3681616976270132	0.3978651009135228	0.3823420986801542	0.0	0.33369911288175486	0.4283510048727115	0.29685563274322657	0.3323123984567401
UZB_k	0.651460505713849	0.2721954753584757	0.22567953835134513	0.14921714620015722	0.14149949360737282	0.33369911288175486	0.0	0.5955454030677789	0.29115715788837465	0.26339303957294696
IND_d	0.7067230384190082	0.5810438002029304	0.49602342465250526	0.5888148865760103	0.5379405182506689	0.4283510048727115	0.5955454030677789	0.0	0.3336584224621947	0.3798743669250532
MOR_d	0.6363381011062058	0.32325739316785773	0.209807095911067	0.3124431817161583	0.22295564830188006	0.29685563274322657	0.29115715788837465	0.3336584224621947	0.0	0.11136278485013536
MOR_k	0.5989224218211096	0.3008018373724288	0.20588397588846238	0.26255579419013486	0.18621738246341873	0.3323123984567401	0.26339303957294696	0.3798743669250532	0.11136278485013536	0.0
