	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	1.9518820357620947	1.8087788631594826	0.6886732469902913	1.0633273068655702	1.5470479416168854	1.7112839554674601	1.6297068380424218	1.5383172816094504	0.8222810651816329
LEB_d	1.9518820357620947	0.0	0.2936561384263301	1.2884802953522616	0.9113281969136675	0.5692811626127361	0.43540413903625047	0.5330360356881908	0.5059375565525464	1.1921596859172419
LEB_k	1.8087788631594826	0.2936561384263301	0.0	1.1372361382046456	0.7698438993906012	0.5860583194018563	0.5082484961457183	0.589694535484044	0.39504998273824077	1.0309785697759406
TUR_d	0.6886732469902913	1.2884802953522616	1.1372361382046456	0.0	0.3954119875287046	0.9450423842421952	1.0852870147665834	1.0299448913668479	0.8772453716343862	0.18285118507639395
TUR_k	1.0633273068655702	0.9113281969136675	0.7698438993906012	0.3954119875287046	0.0	0.6057075934104149	0.7313339353570878	0.6932456372701614	0.5035506132212786	0.33099006594019204
UZB_d	1.5470479416168854	0.5692811626127361	0.5860583194018563	0.9450423842421952	0.6057075934104149	0.0	0.22923592081472935	0.1523777190561598	0.37188565919114663	0.8950218390176161
UZB_k	1.7112839554674601	0.43540413903625047	0.5082484961457183	1.0852870147665834	0.7313339353570878	0.22923592081472935	0.0	0.15052012017639693	0.3817939816636704	1.0232242911803993
IND_d	1.6297068380424218	0.5330360356881908	0.589694535484044	1.0299448913668479	0.6932456372701614	0.1523777190561598	0.15052012017639693	0.0	0.41282527854918255	0.9806285650683649
MOR_d	1.5383172816094504	0.5059375565525464	0.39504998273824077	0.8772453716343862	0.5035506132212786	0.37188565919114663	0.3817939816636704	0.41282527854918255	0.0	0.7901985682443946
MOR_k	0.8222810651816329	1.1921596859172419	1.0309785697759406	0.18285118507639395	0.33099006594019204	0.8950218390176161	1.0232242911803993	0.9806285650683649	0.7901985682443946	0.0
