	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.5576313038986637	0.7497106944237749	0.5115977836329005	0.4438656191020197	0.49712700951658434	0.5551019505715427	0.4505719887589419	0.4427102034825054	0.4053746664478705
LEB_d	0.5576313038986637	0.0	0.7166122617923603	0.246359878638935	0.2282200126584709	0.3422996358221639	0.3377171892932396	0.4526736146032456	0.22740024174202633	0.3892372319437158
LEB_k	0.7497106944237749	0.7166122617923603	0.0	0.5253211069794711	0.5610618629004498	0.8322980126280243	0.8389170732812384	0.4127413489807379	0.7070508887632468	0.6509380256272678
TUR_d	0.5115977836329005	0.246359878638935	0.5253211069794711	0.0	0.17720096149922895	0.39212591552164705	0.41795687020822964	0.254665812508024	0.26714940709945284	0.38483143090972916
TUR_k	0.4438656191020197	0.2282200126584709	0.5610618629004498	0.17720096149922895	0.0	0.3436341555963603	0.3384120024976584	0.2895133734079072	0.2372047414062105	0.274198049260506
UZB_d	0.49712700951658434	0.3422996358221639	0.8322980126280243	0.39212591552164705	0.3436341555963603	0.0	0.18497109650107238	0.4727238272816344	0.29278611305795144	0.34286795336562903
UZB_k	0.5551019505715427	0.3377171892932396	0.8389170732812384	0.41795687020822964	0.3384120024976584	0.18497109650107238	0.0	0.506571348446359	0.3038271226215075	0.35688301615264734
IND_d	0.4505719887589419	0.4526736146032456	0.4127413489807379	0.254665812508024	0.2895133734079072	0.4727238272816344	0.506571348446359	0.0	0.3838157202516958	0.383679554078311
MOR_d	0.4427102034825054	0.22740024174202633	0.7070508887632468	0.26714940709945284	0.2372047414062105	0.29278611305795144	0.3038271226215075	0.3838157202516958	0.0	0.3343972166288162
MOR_k	0.4053746664478705	0.3892372319437158	0.6509380256272678	0.38483143090972916	0.274198049260506	0.34286795336562903	0.35688301615264734	0.383679554078311	0.3343972166288162	0.0
