Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.136706437424182	0.147233249368764	0.0891290544351092	0.158087756173166	0.16962487282454	0.156464851975213	0.142685516098151	0.0975580004790776	0.148537004177086
LEB_d	0.136706437424182	0	0.112744569404004	0.140504538734479	0.131439268796262	0.253179683920457	0.259213865924775	0.166350788630926	0.0897727831160645	0.246638812557162
TUR_d	0.147233249368764	0.112744569404004	0	0.176508630080537	0.178086983969987	0.209555416855797	0.236303090140847	0.124941101984527	0.10992022410098	0.226556271771929
UZB_d	0.0891290544351092	0.140504538734479	0.176508630080537	0	0.0958292649340218	0.214481106792217	0.212599898807697	0.199358989209142	0.111412919885488	0.206051600013245
IND_d	0.158087756173166	0.131439268796262	0.178086983969987	0.0958292649340218	0	0.281777204592604	0.293249515399385	0.237621757445292	0.121495265590676	0.283942340559257
MOR_d	0.16962487282454	0.253179683920457	0.209555416855797	0.214481106792217	0.281777204592604	0	0.0875255721878889	0.156593359908962	0.216776195447554	0.0958370053922044
LEB_k	0.156464851975213	0.259213865924775	0.236303090140847	0.212599898807697	0.293249515399385	0.0875255721878889	0	0.154902333535707	0.218021328287416	0.0401572681451062
TUR_k	0.142685516098151	0.166350788630926	0.124941101984527	0.199358989209142	0.237621757445292	0.156593359908962	0.154902333535707	0	0.133977414634603	0.144172154607784
UZB_k	0.0975580004790776	0.0897727831160645	0.10992022410098	0.111412919885488	0.121495265590676	0.216776195447554	0.218021328287416	0.133977414634603	0	0.206285764745016
MOR_k	0.148537004177086	0.246638812557162	0.226556271771929	0.206051600013245	0.283942340559257	0.0958370053922044	0.0401572681451062	0.144172154607784	0.206285764745016	0
