Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.902875612432229	0.576170434693682	0.56659000516665	0.792475614648199	0.672821700866705	0.245526711622399	0.58207822275077	0.441173753252492	0.753337660749836
LEB_d	0.902875612432229	0	0.435874356972172	0.540214766601202	0.281083590289379	0.336498953667414	0.919277672248763	0.471115455505209	0.693303619368894	0.318104794639018
TUR_d	0.576170434693682	0.435874356972172	0	0.236470765165961	0.326418035546948	0.288716860812236	0.558952558979492	0.112498058089162	0.392141716644978	0.251582260763878
UZB_d	0.56659000516665	0.540214766601202	0.236470765165961	0	0.409450170334635	0.320397627184771	0.611999441697302	0.207122914063074	0.240225590957679	0.296694329171297
IND_d	0.792475614648199	0.281083590289379	0.326418035546948	0.409450170334635	0	0.267265213799803	0.827689430840712	0.388825748167754	0.589129899163734	0.250077953674746
MOR_d	0.672821700866705	0.336498953667414	0.288716860812236	0.320397627184771	0.267265213799803	0	0.736457428890994	0.295606149137546	0.429091180069455	0.237525405844918
LEB_k	0.245526711622399	0.919277672248763	0.558952558979492	0.611999441697302	0.827689430840712	0.736457428890994	0	0.567058441761375	0.533993638568741	0.768820015898015
TUR_k	0.58207822275077	0.471115455505209	0.112498058089162	0.207122914063074	0.388825748167754	0.295606149137546	0.567058441761375	0	0.34978475231773	0.25390510782944
UZB_k	0.441173753252492	0.693303619368894	0.392141716644978	0.240225590957679	0.589129899163734	0.429091180069455	0.533993638568741	0.34978475231773	0	0.492425233095105
MOR_k	0.753337660749836	0.318104794639018	0.251582260763878	0.296694329171297	0.250077953674746	0.237525405844918	0.768820015898015	0.25390510782944	0.492425233095105	0
