	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.5683612330458527	1.2395603362615844	0.6150357217243743	0.9981395946003682	0.5716830053082479	0.725972283641565	0.3284477033138146	1.0344569290385262	1.4224505889091186
LEB_d	0.5683612330458527	0.0	1.295329317162827	0.6576693825349876	1.003550589961206	0.5428998427844627	0.71832620798269	0.5679048507831916	1.134148941099333	1.5049700881121608
LEB_k	1.2395603362615844	1.295329317162827	0.0	0.6987580773899698	0.45010494042291366	0.8574946668735466	0.731732013225183	1.1401477140994536	0.8399997465710279	0.698804073269928
TUR_d	0.6150357217243743	0.6576693825349876	0.6987580773899698	0.0	0.4400783635629455	0.22522178894686018	0.25511871763049515	0.5677852409376027	0.6757832534216694	0.9449367429171621
TUR_k	0.9981395946003682	1.003550589961206	0.45010494042291366	0.4400783635629455	0.0	0.5169707261411309	0.34768880212331194	0.9795217799256047	0.5013731466151431	0.5752968519971845
UZB_d	0.5716830053082479	0.5428998427844627	0.8574946668735466	0.22522178894686018	0.5169707261411309	0.0	0.20068196839392655	0.5852615439854442	0.6430778153410974	0.9920597634013976
UZB_k	0.725972283641565	0.71832620798269	0.731732013225183	0.25511871763049515	0.34768880212331194	0.20068196839392655	0.0	0.7450927115153092	0.4945562325280511	0.8060492471900544
IND_d	0.3284477033138146	0.5679048507831916	1.1401477140994536	0.5677852409376027	0.9795217799256047	0.5852615439854442	0.7450927115153092	0.0	1.1242990452759452	1.4543585707206819
MOR_d	1.0344569290385262	1.134148941099333	0.8399997465710279	0.6757832534216694	0.5013731466151431	0.6430778153410974	0.4945562325280511	1.1242990452759452	0.0	0.5063019243509197
MOR_k	1.4224505889091186	1.5049700881121608	0.698804073269928	0.9449367429171621	0.5752968519971845	0.9920597634013976	0.8060492471900544	1.4543585707206819	0.5063019243509197	0.0
