Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.783154810108086	0.215294193316565	0.679847060331401	0.361617029897062	0.519417046980777	0.699022319792912	0.285238056649783	0.605283270933234	0.485604980207473
LEB_d	0.783154810108086	0	0.691290196789708	0.484612224828251	0.624635428166671	0.478328760990838	0.411097501476748	0.587889230891775	0.482016388179697	0.550243094623215
TUR_d	0.215294193316565	0.691290196789708	0	0.632680246460182	0.23675468333469	0.420585658484643	0.675487124404666	0.28230662303786	0.56620565913556	0.47847030613311
UZB_d	0.679847060331401	0.484612224828251	0.632680246460182	0	0.498526810225125	0.613325908560276	0.628248760648601	0.546131085198238	0.224420009696716	0.694098843344511
IND_d	0.361617029897062	0.624635428166671	0.23675468333469	0.498526810225125	0	0.453067765609618	0.68711662915611	0.351970886312956	0.445764375659689	0.541761326370858
MOR_d	0.519417046980777	0.478328760990838	0.420585658484643	0.613325908560276	0.453067765609618	0	0.406211717474828	0.332292106373925	0.554318817227458	0.309182189807778
LEB_k	0.699022319792912	0.411097501476748	0.675487124404666	0.628248760648601	0.68711662915611	0.406211717474828	0	0.461754454812385	0.556097222241316	0.342909527162748
TUR_k	0.285238056649783	0.587889230891775	0.28230662303786	0.546131085198238	0.351970886312956	0.332292106373925	0.461754454812385	0	0.447909172046579	0.304941301364516
UZB_k	0.605283270933234	0.482016388179697	0.56620565913556	0.224420009696716	0.445764375659689	0.554318817227458	0.556097222241316	0.447909172046579	0	0.581986355808093
MOR_k	0.485604980207473	0.550243094623215	0.47847030613311	0.694098843344511	0.541761326370858	0.309182189807778	0.342909527162748	0.304941301364516	0.581986355808093	0
