Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.805810666768693	0.578791378218395	0.55397375556133	0.785288540866374	0.603681173577838	0.248756681021809	0.511282150745691	0.507176347505295	0.67389704130453
LEB_d	0.805810666768693	0	0.55138441361104	0.767139578299705	0.805824494376198	0.670780421843365	0.809604203350251	0.518605269097988	0.859251605034374	0.656533438266621
TUR_d	0.578791378218395	0.55138441361104	0	0.34617936011297	0.485699346682943	0.376777068917019	0.6349477117014	0.171374322772703	0.39177344273752	0.332536338170994
UZB_d	0.55397375556133	0.767139578299705	0.34617936011297	0	0.325435653596596	0.270652600404618	0.622714969226363	0.343304870384568	0.221090690959822	0.270731472307689
IND_d	0.785288540866374	0.805824494376198	0.485699346682943	0.325435653596596	0	0.271963563562969	0.870652580739711	0.526283108476392	0.431921563518249	0.270402656232721
MOR_d	0.603681173577838	0.670780421843365	0.376777068917019	0.270652600404618	0.271963563562969	0	0.673065280715837	0.377217050490842	0.365841974741007	0.180586293438769
LEB_k	0.248756681021809	0.809604203350251	0.6349477117014	0.622714969226363	0.870652580739711	0.673065280715837	0	0.560976138732106	0.618901234208479	0.71929358836211
TUR_k	0.511282150745691	0.518605269097988	0.171374322772703	0.343304870384568	0.526283108476392	0.377217050490842	0.560976138732106	0	0.401029882354904	0.348231385341288
UZB_k	0.507176347505295	0.859251605034374	0.39177344273752	0.221090690959822	0.431921563518249	0.365841974741007	0.618901234208479	0.401029882354904	0	0.395641433659978
MOR_k	0.67389704130453	0.656533438266621	0.332536338170994	0.270731472307689	0.270402656232721	0.180586293438769	0.71929358836211	0.348231385341288	0.395641433659978	0
