	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.6739275899281524	0.5700832831995282	0.1430672232010325	0.24446418609412335	0.3325511809920179	0.2616792669206455	0.6199515486269696	0.3244230480554134	0.3803730839614725
LEB_d	0.6739275899281524	0.0	0.1892619486647915	0.5940019330381425	0.455778546284339	0.5799833427259413	0.5223740514471689	0.4849807280990971	0.45569955036057375	0.47750107971344075
LEB_k	0.5700832831995282	0.1892619486647915	0.0	0.48363509387540854	0.35178717832204615	0.5179594085790737	0.4234182656611971	0.5227257594286272	0.3676646775331201	0.38152028799258425
TUR_d	0.1430672232010325	0.5940019330381425	0.48363509387540854	0.0	0.16621594250344604	0.36408842805726466	0.19226842234675282	0.6195932370364892	0.2724852050307207	0.26990739892373755
TUR_k	0.24446418609412335	0.455778546284339	0.35178717832204615	0.16621594250344604	0.0	0.3439879807406781	0.19524391823954165	0.540082416850758	0.23260266720174308	0.2614594269997943
UZB_d	0.3325511809920179	0.5799833427259413	0.5179594085790737	0.36408842805726466	0.3439879807406781	0.0	0.2907331624372488	0.34709174107094976	0.24934486721507418	0.48268642141882284
UZB_k	0.2616792669206455	0.5223740514471689	0.4234182656611971	0.19226842234675282	0.19524391823954165	0.2907331624372488	0.0	0.5320889715566631	0.14967089501855654	0.23978071065371293
IND_d	0.6199515486269696	0.4849807280990971	0.5227257594286272	0.6195932370364892	0.540082416850758	0.34709174107094976	0.5320889715566631	0.0	0.439758608687339	0.642122997695681
MOR_d	0.3244230480554134	0.45569955036057375	0.3676646775331201	0.2724852050307207	0.23260266720174308	0.24934486721507418	0.14967089501855654	0.439758608687339	0.0	0.2616737949429885
MOR_k	0.3803730839614725	0.47750107971344075	0.38152028799258425	0.26990739892373755	0.2614594269997943	0.48268642141882284	0.23978071065371293	0.642122997695681	0.2616737949429885	0.0
