	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	2.2277163459496396	2.218758465678718	1.0874227522808304	1.2875895279668093	0.7413236139103129	0.6533818653239174	1.5574914164944353	1.5584795404591265	1.2323605375555304
LEB_d	2.2277163459496396	0.0	0.26764557849472786	1.1897306111176433	0.9713144992918322	1.8140413043650399	1.9766044346399807	1.2278297543184367	0.8290488366078222	1.07848075339945
LEB_k	2.218758465678718	0.26764557849472786	0.0	1.1632762631841111	0.9574947334094912	1.8425635793175301	1.9988343986173693	1.328112666340882	0.8305515225667476	1.0246073683396866
TUR_d	1.0874227522808304	1.1897306111176433	1.1632762631841111	0.0	0.26854680577024076	0.8758147037510737	0.983653893699814	1.016357746189191	0.6217996220691209	0.23312166735359835
TUR_k	1.2875895279668093	0.9713144992918322	0.9574947334094912	0.26854680577024076	0.0	0.9521684103245264	1.0912183559944313	0.8918372957650634	0.46113827829844783	0.2630240672977501
UZB_d	0.7413236139103129	1.8140413043650399	1.8425635793175301	0.8758147037510737	0.9521684103245264	0.0	0.24599642820816325	1.0623392042527249	1.195192334646684	1.02428849040501
UZB_k	0.6533818653239174	1.9766044346399807	1.9988343986173693	0.983653893699814	1.0912183559944313	0.24599642820816325	0.0	1.2724298051310623	1.3520908529250169	1.1383040191352616
IND_d	1.5574914164944353	1.2278297543184367	1.328112666340882	1.016357746189191	0.8918372957650634	1.0623392042527249	1.2724298051310623	0.0	0.8896051769112102	1.0364180206204219
MOR_d	1.5584795404591265	0.8290488366078222	0.8305515225667476	0.6217996220691209	0.46113827829844783	1.195192334646684	1.3520908529250169	0.8896051769112102	0.0	0.5398368156290617
MOR_k	1.2323605375555304	1.07848075339945	1.0246073683396866	0.23312166735359835	0.2630240672977501	1.02428849040501	1.1383040191352616	1.0364180206204219	0.5398368156290617	0.0
