	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.3493413061023683	0.3886371945267309	0.3521159689243749	0.3453726953811448	0.4561341196286843	0.5881214371224441	0.3330948327745318	0.312784240666865	0.38694329883683953
LEB_d	0.3493413061023683	0.0	0.2830908582897089	0.3758012622338502	0.3052142941534532	0.4385943889906196	0.5371610916968558	0.3703523474706551	0.2680938893970274	0.2483486983420653
LEB_k	0.3886371945267309	0.2830908582897089	0.0	0.364046989112063	0.23334201942160546	0.5575768488159867	0.6562194565206488	0.5366828737254193	0.315902056227533	0.21448310270649518
TUR_d	0.3521159689243749	0.3758012622338502	0.364046989112063	0.0	0.18154865644193527	0.4234083117397002	0.45257118868947144	0.4527107621657635	0.1846577997022535	0.475579443624027
TUR_k	0.3453726953811448	0.3052142941534532	0.23334201942160546	0.18154865644193527	0.0	0.49398841345797895	0.5506654422432906	0.45541934635065967	0.20941361210996887	0.3620752852053698
UZB_d	0.4561341196286843	0.4385943889906196	0.5575768488159867	0.4234083117397002	0.49398841345797895	0.0	0.19081264808454662	0.37853135617767425	0.29939911798576635	0.5313822689090931
UZB_k	0.5881214371224441	0.5371610916968558	0.6562194565206488	0.45257118868947144	0.5506654422432906	0.19081264808454662	0.0	0.47777183399882484	0.3759448734271628	0.6573889539292227
IND_d	0.3330948327745318	0.3703523474706551	0.5366828737254193	0.4527107621657635	0.45541934635065967	0.37853135617767425	0.47777183399882484	0.0	0.33720043672318434	0.4658407647508804
MOR_d	0.312784240666865	0.2680938893970274	0.315902056227533	0.1846577997022535	0.20941361210996887	0.29939911798576635	0.3759448734271628	0.33720043672318434	0.0	0.35645095855150266
MOR_k	0.38694329883683953	0.2483486983420653	0.21448310270649518	0.475579443624027	0.3620752852053698	0.5313822689090931	0.6573889539292227	0.4658407647508804	0.35645095855150266	0.0
