Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.289578330075876	0.13584847281712	0.231990695702333	0.178399784407659	0.184441589215709	0.223316008983997	0.157030035797465	0.164521623513063	0.157760510070093
LEB_d	0.289578330075876	0	0.314414573200973	0.216120642145095	0.271462204091242	0.26933996630838	0.10794300193314	0.190994404281647	0.26888857596113	0.372193778402206
TUR_d	0.13584847281712	0.314414573200973	0	0.215622389930885	0.151229528555614	0.154123569890167	0.248495080116622	0.127954868790221	0.128913394296684	0.0833628076323236
UZB_d	0.231990695702333	0.216120642145095	0.215622389930885	0	0.0904870024614468	0.0963264058478749	0.173781893485668	0.14852580337635	0.112185068139075	0.258318886476375
IND_d	0.178399784407659	0.271462204091242	0.151229528555614	0.0904870024614468	0	0.0371250917417012	0.209428705636164	0.138347451041588	0.0429242361800121	0.178307505998716
MOR_d	0.184441589215709	0.26933996630838	0.154123569890167	0.0963264058478749	0.0371250917417012	0	0.206733793609812	0.136381016476449	0.0465721389542453	0.179047621494191
LEB_k	0.223316008983997	0.10794300193314	0.248495080116622	0.173781893485668	0.209428705636164	0.206733793609812	0	0.137230677331301	0.205567802319151	0.300237668706922
TUR_k	0.157030035797465	0.190994404281647	0.127954868790221	0.14852580337635	0.138347451041588	0.136381016476449	0.137230677331301	0	0.120158585509629	0.188471851586079
UZB_k	0.164521623513063	0.26888857596113	0.128913394296684	0.112185068139075	0.0429242361800121	0.0465721389542453	0.205567802319151	0.120158585509629	0	0.157394051975604
MOR_k	0.157760510070093	0.372193778402206	0.0833628076323236	0.258318886476375	0.178307505998716	0.179047621494191	0.300237668706922	0.188471851586079	0.157394051975604	0
