	ETHI_d	LEB_d	LEB_k	TUR_d	TUR_k	UZB_d	UZB_k	IND_d	MOR_d	MOR_k
ETHI_d	0.0	0.6173369625528751	0.7683406250262053	0.46349065009211177	0.29475777532878905	0.4109494853800817	0.38154884865124217	0.20835475269652076	0.34003989210926	0.30464084455088625
LEB_d	0.6173369625528751	0.0	0.24116918869112317	0.310698725415773	0.44082100626228743	0.42946123717426	0.6547348243661764	0.49967244777598	0.3894381793944845	0.5452683655730779
LEB_k	0.7683406250262053	0.24116918869112317	0.0	0.41376058537589827	0.5753926113832772	0.5944888560909777	0.8267980538844567	0.6626626511619983	0.5341329179658956	0.6896947542104068
TUR_d	0.46349065009211177	0.310698725415773	0.41376058537589827	0.0	0.27430190637062923	0.3171784692863513	0.4845142110344649	0.36940048889239313	0.23461859346291294	0.4663139687785374
TUR_k	0.29475777532878905	0.44082100626228743	0.5753926113832772	0.27430190637062923	0.0	0.3751983996219282	0.409856534226579	0.2234489646701611	0.20831486844750088	0.2448861179609293
UZB_d	0.4109494853800817	0.42946123717426	0.5944888560909777	0.3171784692863513	0.3751983996219282	0.0	0.2941605982365297	0.2761723919097561	0.22826162504399977	0.46098304032890863
UZB_k	0.38154884865124217	0.6547348243661764	0.8267980538844567	0.4845142110344649	0.409856534226579	0.2941605982365297	0.0	0.29048310517401715	0.3521695765038188	0.4412482813738376
IND_d	0.20835475269652076	0.49967244777598	0.6626626511619983	0.36940048889239313	0.2234489646701611	0.2761723919097561	0.29048310517401715	0.0	0.20649675948220264	0.25906758140236824
MOR_d	0.34003989210926	0.3894381793944845	0.5341329179658956	0.23461859346291294	0.20831486844750088	0.22826162504399977	0.3521695765038188	0.20649675948220264	0.0	0.32289156670654423
MOR_k	0.30464084455088625	0.5452683655730779	0.6896947542104068	0.4663139687785374	0.2448861179609293	0.46098304032890863	0.4412482813738376	0.25906758140236824	0.32289156670654423	0.0
