Row	ETHI_d	LEB_d	TUR_d	UZB_d	IND_d	MOR_d	LEB_k	TUR_k	UZB_k	MOR_k
ETHI_d	0	0.631468201207387	0.661612144274864	0.306469748475147	0.436833589322884	0.484262314989052	0.731424102113162	0.591397620235021	0.529158941028924	0.738104508438607
LEB_d	0.631468201207387	0	0.215840298037207	0.478047425373232	0.376778953111731	0.278455211633321	0.395792424586789	0.2285937387186	0.23684338757745	0.170322247423032
TUR_d	0.661612144274864	0.215840298037207	0	0.503633626285153	0.460633169893488	0.35381853547755	0.370880183165869	0.14416082385244	0.221583411636928	0.200622627992371
UZB_d	0.306469748475147	0.478047425373232	0.503633626285153	0	0.288762031389697	0.316021939490181	0.669124458760469	0.475541426809562	0.327099333398281	0.593969842886752
IND_d	0.436833589322884	0.376778953111731	0.460633169893488	0.288762031389697	0	0.327566504645302	0.652083022179374	0.442529552017342	0.29276578269518	0.514104843979624
MOR_d	0.484262314989052	0.278455211633321	0.35381853547755	0.316021939490181	0.327566504645302	0	0.572807727299999	0.35856175914902	0.275618968434127	0.397647615874975
LEB_k	0.731424102113162	0.395792424586789	0.370880183165869	0.669124458760469	0.652083022179374	0.572807727299999	0	0.309345168213211	0.467669014309473	0.332554207171807
TUR_k	0.591397620235021	0.2285937387186	0.14416082385244	0.475541426809562	0.442529552017342	0.35856175914902	0.309345168213211	0	0.222703491161298	0.207965304351672
UZB_k	0.529158941028924	0.23684338757745	0.221583411636928	0.327099333398281	0.29276578269518	0.275618968434127	0.467669014309473	0.222703491161298	0	0.315491984132063
MOR_k	0.738104508438607	0.170322247423032	0.200622627992371	0.593969842886752	0.514104843979624	0.397647615874975	0.332554207171807	0.207965304351672	0.315491984132063	0
